fetch_date,rank,id,symbol,name,current_price,market_cap,total_volume,high_24h,low_24h,price_change_percentage_24h,last_updated
2025-11-10,1,bitcoin,btc,Bitcoin,106045.0,2112270321229,72679227910.0,106491.0,104200.0,1.44959,2025-11-10T20:23:01.486Z
2025-11-10,2,ethereum,eth,Ethereum,3566.15,429544073329,33155615148.0,3647.92,3512.25,-0.29188,2025-11-10T20:23:03.023Z
2025-11-10,3,tether,usdt,Tether,0.999912,183425526255,114607035537.0,1.0,0.999432,0.01223,2025-11-10T20:23:10.904Z
2025-11-10,4,ripple,xrp,XRP,2.55,153077641020,5806902470.0,2.57,2.33,9.04035,2025-11-10T20:23:10.735Z
2025-11-10,5,binancecoin,bnb,BNB,990.05,136081119767,2003358424.0,1017.19,977.34,-1.13466,2025-11-10T20:23:00.698Z
2025-11-10,6,solana,sol,Solana,167.33,92555200287,5553133786.0,170.1,163.91,1.13824,2025-11-10T20:23:10.435Z
2025-11-10,7,usd-coin,usdc,USDC,0.999805,75863597309,7971076421.0,0.999956,0.999696,0.01032,2025-11-10T20:23:10.869Z
2025-11-10,8,staked-ether,steth,Lido Staked Ether,3565.74,30709933925,44544219.0,3642.73,3511.98,-0.15743,2025-11-10T20:23:10.127Z
2025-11-10,9,tron,trx,TRON,0.295269,27944342074,579917689.0,0.295644,0.290273,1.09444,2025-11-10T20:23:11.079Z
2025-11-10,10,dogecoin,doge,Dogecoin,0.180487,27316173243,2029823915.0,0.184625,0.178043,0.56883,2025-11-10T20:23:10.458Z
2025-11-10,11,cardano,ada,Cardano,0.590074,21566873013,1054756113.0,0.600592,0.574382,1.67601,2025-11-10T20:23:10.640Z
2025-11-10,12,wrapped-steth,wsteth,Wrapped stETH,4348.96,14198611597,28354933.0,4440.78,4279.91,-0.01344,2025-11-10T20:23:10.129Z
2025-11-10,13,figure-heloc,figr_heloc,Figure Heloc,1.033,13981149952,8244188.0,1.037,1.013,2.02011,2025-11-10T20:23:10.113Z
2025-11-10,14,wrapped-bitcoin,wbtc,Wrapped Bitcoin,105787.0,13386455411,335030110.0,106526.0,103896.0,1.33114,2025-11-10T20:23:10.406Z
2025-11-10,15,wrapped-beacon-eth,wbeth,Wrapped Beacon ETH,3863.17,12585253930,3714525.0,3947.35,3800.57,-0.11749,2025-11-10T20:23:10.125Z
2025-11-10,16,whitebit,wbt,WhiteBIT Coin,55.1,11800243411,97830330.0,55.19,54.4,1.06297,2025-11-10T20:23:10.097Z
2025-11-10,17,hyperliquid,hype,Hyperliquid,42.16,11343559012,405888839.0,43.04,40.92,-0.14668,2025-11-10T20:23:10.240Z
2025-11-10,18,chainlink,link,Chainlink,16.22,11268467105,794292667.0,16.64,15.86,1.0053,2025-11-10T20:23:10.616Z
2025-11-10,19,bitcoin-cash,bch,Bitcoin Cash,511.04,10180525703,224036385.0,523.8,501.25,1.51903,2025-11-10T20:23:10.491Z
2025-11-10,20,zcash,zec,Zcash,590.77,9673447490,3658128866.0,679.89,561.48,-7.09234,2025-11-10T20:23:10.178Z
2025-11-10,21,stellar,xlm,Stellar,0.301591,9646313106,293697663.0,0.310268,0.282188,6.30499,2025-11-10T20:23:10.423Z
2025-11-10,22,wrapped-eeth,weeth,Wrapped eETH,3855.95,9348446921,10796759.0,3936.33,3790.04,-0.00815,2025-11-10T20:23:10.278Z
2025-11-10,23,usds,usds,USDS,0.999675,9178326947,31347057.0,1.002,0.997731,-0.01134,2025-11-10T20:23:10.182Z
2025-11-10,24,binance-bridged-usdt-bnb-smart-chain,bsc-usd,Binance Bridged USDT (BNB Smart Chain),0.999564,8982601164,2507970595.0,1.001,0.9985,0.00291,2025-11-10T20:23:10.893Z
2025-11-10,25,ethena-usde,usde,Ethena USDe,0.999109,8435777637,204918708.0,1.001,0.998336,-0.05284,2025-11-10T20:23:10.287Z
2025-11-10,26,leo-token,leo,LEO Token,9.11,8373904836,1636920.0,9.36,9.08,-0.84748,2025-11-10T20:23:10.157Z
2025-11-10,27,litecoin,ltc,Litecoin,107.7,8237273862,1343682532.0,113.15,105.79,-2.84229,2025-11-10T20:23:10.794Z
2025-11-10,28,hedera-hashgraph,hbar,Hedera,0.192834,8183258435,445940273.0,0.197602,0.175544,9.37405,2025-11-10T20:23:10.247Z
2025-11-10,29,weth,weth,WETH,3572.29,7971506963,279138954.0,3650.74,3511.63,-0.13183,2025-11-10T20:22:59.603Z
2025-11-10,30,sui,sui,Sui,2.16,7925769382,869258939.0,2.22,2.13,-0.0713,2025-11-10T20:23:10.709Z
2025-11-10,31,coinbase-wrapped-btc,cbbtc,Coinbase Wrapped BTC,106093.0,7796875717,496298188.0,106521.0,104211.0,1.48874,2025-11-10T20:23:10.888Z
2025-11-10,32,avalanche-2,avax,Avalanche,18.1,7699817385,497820197.0,18.3,17.62,1.58076,2025-11-10T20:23:10.446Z
2025-11-10,33,monero,xmr,Monero,383.48,7127993266,238662981.0,437.4,384.01,-12.2123,2025-11-10T20:23:10.331Z
2025-11-10,34,shiba-inu,shib,Shiba Inu,1.013e-05,5955566302,160739131.0,1.014e-05,9.92e-06,1.45596,2025-11-10T20:23:10.496Z
2025-11-10,35,polkadot,dot,Polkadot,3.25,5280662047,402943481.0,3.3,3.14,1.49674,2025-11-10T20:23:10.451Z
2025-11-10,36,the-open-network,ton,Toncoin,2.13,5276515330,124496290.0,2.15,2.1,0.20801,2025-11-10T20:23:10.689Z
2025-11-10,37,crypto-com-chain,cro,Cronos,0.133583,4819498082,38680524.0,0.136676,0.126918,4.77113,2025-11-10T20:23:10.378Z
2025-11-10,38,ethena-staked-usde,susde,Ethena Staked USDe,1.2,4605324838,49449931.0,1.2,1.2,0.04208,2025-11-10T20:23:10.630Z
2025-11-10,39,dai,dai,Dai,0.99932,4578123627,86102459.0,1.001,0.998504,-0.06846,2025-11-10T20:23:10.878Z
2025-11-10,40,uniswap,uni,Uniswap,7.42,4523288077,610898847.0,7.42,6.56,10.54807,2025-11-10T20:23:10.834Z
2025-11-10,41,mantle,mnt,Mantle,1.32,4283604226,114684691.0,1.37,1.29,-1.78798,2025-11-10T20:23:10.461Z
2025-11-10,42,canton-network,cc,Canton Network,0.127538,4267396194,50346235.0,0.159483,0.108703,-6.04419,2025-11-10T20:23:10.490Z
2025-11-10,43,world-liberty-financial,wlfi,World Liberty Financial,0.15643,4259937905,859344828.0,0.165616,0.125932,23.46577,2025-11-10T20:23:10.442Z
2025-11-10,44,memecore,m,MemeCore,2.41,4128527531,13384859.0,2.52,2.37,1.04841,2025-11-10T20:23:10.233Z
2025-11-10,45,internet-computer,icp,Internet Computer,7.03,3747515403,631399585.0,7.99,6.63,-11.70334,2025-11-10T20:23:10.453Z
2025-11-10,46,susds,susds,sUSDS,1.074,3742257274,180224475.0,1.086,1.059,0.25429,2025-11-10T20:23:10.302Z
2025-11-10,47,bittensor,tao,Bittensor,385.18,3692966961,242831014.0,397.55,370.53,-1.09183,2025-11-10T20:23:10.487Z
2025-11-10,48,usdt0,usdt0,USDT0,0.999558,3650549283,219312516.0,1.001,0.998546,-0.02986,2025-11-10T20:23:01.360Z
2025-11-10,49,near,near,NEAR Protocol,2.86,3648981774,836339327.0,3.12,2.82,-3.26503,2025-11-10T20:23:10.751Z
2025-11-10,50,aave,aave,Aave,223.0,3384918724,454029979.0,224.99,211.46,4.83379,2025-11-10T20:23:10.865Z
2025-11-10,51,paypal-usd,pyusd,PayPal USD,1.0,3101600607,135030683.0,1.001,0.999242,0.05243,2025-11-10T20:23:10.392Z
2025-11-10,52,bitget-token,bgb,Bitget Token,4.1,2869905963,69621557.0,4.15,4.06,0.47274,2025-11-10T20:23:10.401Z
2025-11-10,53,usd1-wlfi,usd1,USD1,0.999388,2849581427,304556116.0,1.0,0.998827,-0.02405,2025-11-10T20:22:59.600Z
2025-11-10,54,blackrock-usd-institutional-digital-liquidity-fund,buidl,BlackRock USD Institutional Digital Liquidity Fund,1.0,2823989820,0.0,1.0,1.0,0.0,2025-11-10T20:20:01.893Z
2025-11-10,55,okb,okb,OKB,128.43,2691193867,52110367.0,130.46,125.51,2.17776,2025-11-10T20:22:58.912Z
2025-11-10,56,pepe,pepe,Pepe,6.24e-06,2622923732,394335287.0,6.25e-06,6.05e-06,1.72514,2025-11-10T20:23:10.638Z
2025-11-10,57,c1usd,c1usd,Currency One USD,1.0,2550306282,808553.0,1.001,0.999546,-0.00209,2025-11-10T20:23:10.526Z
2025-11-10,58,ethereum-classic,etc,Ethereum Classic,16.33,2514301032,159458320.0,16.68,16.05,1.14662,2025-11-10T20:23:10.606Z
2025-11-10,59,ethena,ena,Ethena,0.340392,2481030038,421609247.0,0.356826,0.325496,2.61382,2025-11-10T20:23:10.440Z
2025-11-10,60,jito-staked-sol,jitosol,Jito Staked SOL,207.65,2422316697,22270691.0,210.67,203.16,1.22848,2025-11-10T20:22:59.049Z
2025-11-10,61,aptos,apt,Aptos,3.28,2350388125,414212052.0,3.31,3.19,1.92578,2025-11-10T20:22:59.207Z
2025-11-10,62,aster-2,aster,Aster,1.079,2166824414,623946471.0,1.17,1.058,-2.89029,2025-11-10T20:23:10.856Z
2025-11-10,63,ondo-finance,ondo,Ondo,0.687826,2165986740,90641778.0,0.700307,0.667589,1.85147,2025-11-10T20:23:10.606Z
2025-11-10,64,binance-peg-weth,weth,Binance-Peg WETH,3573.23,2155915674,64139550.0,3645.74,3511.72,-0.07154,2025-11-10T20:23:10.484Z
2025-11-10,65,tether-gold,xaut,Tether Gold,4101.23,2141474379,15086584314.0,4110.73,3989.38,2.78224,2025-11-10T20:23:10.529Z
2025-11-10,66,jupiter-perpetuals-liquidity-provider-token,jlp,Jupiter Perpetuals Liquidity Provider Token,5.18,2128254419,67727623.0,5.23,5.13,0.57421,2025-11-10T20:22:59.107Z
2025-11-10,67,wrapped-solana,sol,Wrapped SOL,167.35,2114284309,895020542.0,170.01,163.76,1.14701,2025-11-10T20:22:59.509Z
2025-11-10,68,falcon-finance,usdf,Falcon USD,0.998033,2108021932,8249349.0,1.003,0.995667,0.07222,2025-11-10T20:23:10.303Z
2025-11-10,69,pi-network,pi,Pi Network,0.229928,1911911463,32365163.0,0.235573,0.225576,0.85499,2025-11-10T20:22:58.926Z
2025-11-10,70,polygon-ecosystem-token,pol,POL (ex-MATIC),0.181356,1906366468,72879388.0,0.183973,0.177171,0.21372,2025-11-10T20:23:10.691Z
2025-11-10,71,official-trump,trump,Official Trump,9.4,1894892121,1744980308.0,9.5,7.67,21.01801,2025-11-10T20:23:10.739Z
2025-11-10,72,worldcoin-wld,wld,Worldcoin,0.82729,1868317804,169507793.0,0.845108,0.811183,0.93857,2025-11-10T20:22:59.308Z
2025-11-10,73,filecoin,fil,Filecoin,2.6,1834734668,645947522.0,2.92,2.5,-10.90022,2025-11-10T20:23:10.705Z
2025-11-10,74,usdtb,usdtb,USDtb,0.998674,1832628852,357865.0,1.001,0.997748,-0.05135,2025-11-10T20:23:10.510Z
2025-11-10,75,kucoin-shares,kcs,KuCoin,13.12,1702842257,7140459.0,13.59,13.1,-1.81115,2025-11-10T20:23:10.660Z
2025-11-10,76,htx-dao,htx,HTX DAO,1.81e-06,1680616887,18908184.0,1.81e-06,1.79e-06,0.64336,2025-11-10T20:23:10.486Z
2025-11-10,77,arbitrum,arb,Arbitrum,0.303516,1666476301,172274495.0,0.304666,0.293143,0.64955,2025-11-10T20:23:10.973Z
